,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Interview information,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Household member characteristics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Household economic activities,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Housing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Household assets,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sales of household assets,,,,,,,,,,,,,,,,1,1,1,1,1,1
Food secturity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Food security perception and strategies,,,,,,,,,,,,,,,,,1,1,1,1,1
Rice production,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Long-term storage (rice),,,1,1,1,1,,,,,,,,,,,,,,,
Communitiy storage (rice),,,,,,,,,,,,,,,,1,1,1,1,,
Other agricultural productions,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Livestock,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fishing,,,,,,,,,,,,,,,,,,,,,1
Household expenses,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Labor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Land transactions,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Land disputes,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,
Land status and taxes,,,,,,,,,,,,,,,,1,1,1,,1,1
Loans and savings,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Microfinance,,,,,,,,,,,,,,,,,1,1,1,1,1
Transfers,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Association life,,,,1,,,,,1,1,1,1,1,,,,,,,,1
Governance,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
Social network,,,,,,,,,,,,,,,,1,1,1,,,
Awareness and opinions on structural adjustment plans,,1,,,,,,,,,,,,,,,,,,,
Perception of development project impacts,,,,,,,,,,,1,1,1,,,,,,,,
Opportunities,,,,,,,,,,,,,,,,1,1,1,1,,
Living standards and social origins,,,,,,,,,,1,,,,,,,,,,,
Disasters,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
Ceremonies,,,,,,,1,,,1,1,,,,,,,,,,
Water and firewoord collection,,,,1,1,,,,,,,,,,,,,,,,
Access to health services,1,,,,,,,,,,,,,,,,,,,,
Women and childrean healthcare,,,,,,,,,,,,,,,1,,,,,,
